NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
RPL38	1	Rpl38	
PRSS8	1	Prss8	
RPL37	2	Rpl37rt:Rpl37	
PRSS3	1	Try5	
RPL39	1	Rpl39	
HOXA5	1	Hoxa5	
CHGB	1	Chgb	
IER3	1	Ier3	
SULT2A1	1	Sult2a8	
ADGB	1	Adgb	
PRKCB	1	Prkcb	
SERPINF1	1	Serpinf1	
KRTAP17-1	1	Krtap17-1	
SOX11	1	Sox11	
DKK1	1	Dkk1	
SOX10	1	Sox10	
DKK2	1	Dkk2	
DKK4	1	Dkk4	
BCAM	1	Bcam	
BIN1	1	Bin1	
MAP1B	1	Map1b	
FDX2	1	Fdx2	
ANOS1	1	Wfdc17	
ACOT1	1	Acot1	
SERPING1	1	Serping1	
HOXB2	1	Hoxb2	
PRKCQ	1	Prkcq	
HOXB1	1	Hoxb1	
HOXB6	1	Hoxb6	
LINC00643	1	1700086L19Rik	
HOXB5	1	Hoxb5	
MEG3	1	Meg3	
RD3	1	Rd3	
LIPT1	1	Lipt1	
ENPEP	1	Enpep	
TPH1	1	Tph1	
SNU13	1	Snu13	
ADH7	1	Adh7	
PLAC8	1	Plac8	
LDHB	1	Ldhb	
LDHA	1	Ldha	
S100A16	1	S100a16	
PRDX1	1	Prdx1	
PTPMT1	1	Ptpmt1	
ALX3	1	Alx3	
PLCG2	1	Plcg2	
S100A13	1	S100a13	
SERPINH1	1	Serpinh1	
PCDHA4	1	Gm37013	
HMOX1	1	Hmox1	
PLAC1	1	Plac1	
ST3GAL6	1	St3gal6	
S100A14	1	S100a14	
CGA	1	Cga	
HOXC8	1	Hoxc8	
HLA-DQA1	1	H2-Aa	
S100A11	1	S100a11	
GSDMD	1	Gsdmd	
RPL41	1	Rpl41	
THAP12	1	Thap12	
SLC16A11	1	Slc16a11	
NR1D2	1	Nr1d2	
GJB2	1	Gjb2	
GJB3	1	Gjb3	
GJB6	1	Gjb6	
GJB5	1	Gjb5	
PNOC	1	Pnoc	
CYP1A1	1	Cyp1a1	
SERPINI1	1	Serpini1	
ADA	1	Ada	
BPIFC	1	Bpifc	
GAPT	1	Gapt	
CDKN1C	1	Cdkn1c	
RET	1	Ret	
SERPINA3	2	Serpina3n:Serpina3g	
BTG2	1	Btg2	
CDKN1A	1	Cdkn1a	
BTG1	1	Btg1	
SERPINA1	2	Serpina1c:Serpina1d	
TINAGL1	1	Tinagl1	
YJEFN3	1	Yjefn3	
ELN	1	Eln	
PRSS27	1	Prss27	
ADM	1	Adm	
FMN1	1	Fmn1	
PRSS22	1	Prss22	
PRSS23	1	Prss23	
MS4A4A	1	Ms4a4b	
C11orf98	1	1810009A15Rik	
RNF157	1	Rnf157	
C1QTNF3	1	C1qtnf3	
CSRP3	1	Csrp3	
PIP4P1	1	Pip4p1	
LCE5A	1	Lce1g	
TMSB4X	1	Tmsb4x	
MRC1	1	Mrc1	
RACK1	1	Rack1	
RSPO3	1	Rspo3	
TIMP3	1	Timp3	
ELOB	1	Elob	
ELOC	1	Eloc	
RSPO1	1	Rspo1	
TIMP1	1	Timp1	
HAVCR1	1	Timd2	
RAB5IF	1	Rab5if	
FCRL2	1	Fcrls	
BATF3	1	Batf3	
SERPINB1	1	Serpinb1a	
ANXA1	1	Anxa1	
FMC1-LUC7L2	1	Fmc1	
ANXA2	1	Anxa2	
TCF15	1	Tcf15	
PLLP	1	Pllp	
TESC	1	Tesc	
ITPK1	1	Itpk1	
COPZ2	1	Copz2	
SERPINB9	4	Serpinb9b:Serpinb9g:Serpinb9d:Serpinb9e	
PAX5	1	Pax5	
ECRG4	1	1500015O10Rik	
PRSS12	1	Prss12	
SERPINB6	1	Serpinb6b	
C11orf87	1	AI593442	
MS4A6A	1	Ms4a6d	
TUBB2B	1	Tubb2b	
COL2A1	1	Col2a1	
ANGPTL7	1	Angptl7	
TAL2	1	Tal2	
GAS1	1	Gas1	
HCLS1	1	Hcls1	
ANGPTL4	1	Angptl4	
GAS6	1	Gas6	
GAS5	1	Gas5	
PLCB2	1	Plcb2	
IVL	1	Ivl	
GAS7	1	Gas7	
HBEGF	1	Hbegf	
WDR27	1	Wdr27	
CCL11	1	Ccl11	
GRP	1	Grp	
RPL10	1	Rpl10	
NDUFA4L2	1	Ndufa4l2	
MICOS10-NBL1	1	Nbl1	
SBSN	1	Sbsn	
ASCL2	1	Ascl2	
TMEM163	1	Tmem163	
FGD2	1	Fgd2	
NSD3	1	Nsd3	
GPNMB	1	Gpnmb	
EPCAM	1	Epcam	
OLFML3	1	Olfml3	
ABI3BP	1	Abi3bp	
RPL14	1	Rpl14	
RPS3	1	Rps3	
RPL13	2	Rpl13:Gm15710	
LINC-PINT	1	Lncpint	
RPS2	1	Rps2	
MBNL3	1	Mbnl3	
RPL18	1	Rpl18	
RPRM	1	Rprm	
ZNF101	1	Zfp976	
AOC1	2	Doxl2:1600015I10Rik	
CCL23	2	Ccl9:Ccl6	
CDKN2B	1	Cdkn2b	
CCL20	1	Ccl20	
CDKN2A	1	Cdkn2a	
SEPTIN2	1	Septin2	
AGL	1	Agl	
PCGF2	1	Pcgf2	
ECEL1	1	Ecel1	
ELP1	1	Elp1	
RFLNB	1	Fam101b	
LAPTM5	1	Laptm5	
G0S2	1	G0s2	
SEPTIN6	1	Septin6	
SEPTIN3	1	Septin3	
SYNJ2BP	1	Gm20498	
USP17L2	1	Usp17la	
TUBB4A	1	Tubb4a	
AGT	1	Agt	
DHRS3	1	Dhrs3	
SMOC2	1	Smoc2	
FAM236D	1	Gm9112	
TMEM158	1	Tmem158	
NFIA	1	Nfia	
IGLL1	1	Igll1	
PLP1	1	Plp1	
ZYX	1	Zyx	
FOSB	1	Fosb	
NOTUM	1	Notum	
FMOD	1	Fmod	
SLC28A2	1	Slc28a2	
CEP43	1	Cep43	
EEF1AKMT2	1	Eef1akmt2	
SCRG1	1	Scrg1	
HSPA1A	1	Hspa1a	
PF4	1	Pf4	
RAB3B	1	Rab3b	
CSF3	1	Csf3	
RAB3A	1	Rab3a	
CSF1	1	Csf1	
EPO	1	Epo	
PRORP	1	Prorp	
TNC	1	Tnc	
CRYAA2	1	Cryaa	
TMEM131L	1	Tmem131l	
SERTM2	1	A730046J19Rik	
CLU	1	Clu	
LAMP5	1	Lamp5	
PYCARD	1	Pycard	
CDH5	1	Cdh5	
FGF7	1	Fgf7	
IGHG1	1	Ighg2b	
FGF8	1	Fgf8	
HMGN5	1	Hmgn5	
CDH1	1	Cdh1	
MPC1	1	Mpc1	
TUBB3	1	Tubb3	
PHLDA2	1	Phlda2	
PHLDA1	1	Phlda1	
TMSB10	1	Tmsb10	
GTF2I	1	Gtf2i	
RPS9	1	Rps9	
NKX6-2	1	Nkx6-2	
SNRPN	1	Snrpn	
IGFBP5	1	Igfbp5	
RPS8	2	Rps8:Gm15501	
IGFBP4	1	Igfbp4	
IGFBP3	1	Igfbp3	
RPS5	1	Rps5	
TPM2	1	Tpm2	
IGFBP2	1	Igfbp2	
TPM1	1	Tpm1	
TAP1	1	Tap1	
TLE5	1	Tle5	
CLEC4A	2	Clec4a1:Clec4a2	
LBHD1	1	Lbhd1	
CLEC4D	1	Clec4d	
MALAT1	1	Malat1	
ERG	1	Erg	
XIST	1	Xist	
FKBP6	1	Fkbp6	
CSF1R	1	Csf1r	
CEMIP	1	Cemip	
DRC7	1	Drc7	
ZNF791	1	Zfp791	
MINDY4	1	Mindy4	
PARM1	1	Parm1	
AEBP1	1	Aebp1	
RASAL3	1	Rasal3	
MACROH2A1	1	Macroh2a1	
KNG1	1	Kng1	
STRA8	1	Stra8	
VTN	1	Vtn	
MUSTN1	1	Mustn1	
MAP3K20	1	Map3k20	
NDN	1	Ndn	
IGFBP7	1	Igfbp7	
IGFBP6	1	Igfbp6	
PLTP	1	Pltp	
ATP8B4	1	Atp8b4	
TMEM132E	1	Tmem132e	
NSG1	1	Nsg1	
BTBD9	1	Btbd9	
PLET1	1	Plet1	
GFAP	1	Gfap	
CDK8	1	Cdk8	
LHX2	1	Lhx2	
P4HA2	1	P4ha2	
CLEC6A	1	Clec4n	
ITGA11	1	Itga11	
GPR101	1	Gpr101	
SERINC3	1	Serinc3	
XAF1	1	Xaf1	
COPS9	1	Cops9	
SERINC4	1	Serinc4	
ANKRD33B	1	Ankrd33b	
PSCA	1	Psca	
CALCOCO2	1	Calcoco2	
MCM8	1	Mcm8	
TREM2	1	Trem2	
LSP1	1	Lsp1	
TRH	1	Trh	
CPZ	1	Cpz	
H1-10	1	H1fx	
ADAMTS5	1	Adamts5	
THBD	1	Thbd	
DNMT3L	1	Dnmt3l	
SIN3B	1	Sin3b	
ADAMTS1	1	Adamts1	
EMILIN1	1	Emilin1	
LBP	1	Lbp	
CLEC1B	1	Clec1b	
GPX2	1	Gpx2	
SLC13A4	1	Slc13a4	
GPX4	1	Gpx4	
UGT1A1	1	Ugt1a1	
GPX3	1	Gpx3	
GPX6	1	Gpx6	
AVPR2	1	ND1	
TRPC2	1	Trpc2	
APOA1	1	Apoa1	
RPL13A	1	Rpl13a	
C1QL4	1	C1ql4	
DUSP26	1	Dusp26	
ASPN	1	Aspn	
INMT	1	Inmt	
C1QL1	1	C1ql1	
PTP4A1	1	Ptp4a1	
LCK	1	Lck	
MEP1A	1	Mep1a	
NOA1	1	Noa1	
TNMD	1	Tnmd	
RPL37A	1	Gm4149	
TRAF5	1	Traf5	
CRH	1	Crh	
C4orf48	1	Gm1673	
ASPA	1	Aspa	
METTL26	1	Mettl26	
SMPDL3A	1	Smpdl3a	
CX3CR1	1	Cx3cr1	
CEBPB	1	Cebpb	
AMBRA1	1	Ambra1	
TULP1	1	Tulp1	
VXN	1	3110035E14Rik	
THSD1	1	Thsd1	
COCH	1	Coch	
DCAF15	1	Dcaf15	
CLEC3B	1	Clec3b	
DCAF17	1	Dcaf17	
TTR	1	Ttr	
DNAJB5	1	Dnajb5	
HECTD4	1	Hectd4	
IL21R	1	Il21r	
CEACAM21	2	Ceacam9:Ceacam15	
UGT1A4	1	Ugt1a5	
UGT1A3	1	Ugt1a2	
MEST	1	Mest	
UGT1A8	2	Ugt1a8:Ugt1a9	
C1orf105	1	4930558K02Rik	
UGT1A7	1	Ugt1a10	
UGT1A6	2	Ugt1a6b:Ugt1a6a	
PTPN18	1	Ptpn18	
CMA1	1	Cma1	
KLF2	1	Klf2	
FAM25BP	1	Fam25c	
MFAP5	1	Mfap5	
MAB21L4	1	2310007B03Rik	
MFAP4	1	Mfap4	
P2RX4	1	P2rx4	
CTH	1	Cth	
APOC1	1	Apoc1	
TAFA1	1	Fam19a1	
MFAP2	1	Mfap2	
SYCP3	1	1700013H16Rik	
CBLN4	1	Cbln4	
CDO1	1	Cdo1	
EVI2B	2	Evi2:Evi2b	
FOLR1	1	Folr1	
CBLN2	1	Cbln2	
TPT1	1	Tpt1	
IFITM3	1	Ifitm3	
DYNC2I1	1	Dync2i1	
IFI27L2	1	Ifi27l2a	
IFITM1	1	Ifitm1	
IL1RN	1	Il1rn	
IFITM2	1	Ifitm2	
SPARC	1	Sparc	
FAM89A	1	Fam89a	
AQP8	1	Aqp8	
AQP9	1	Aqp9	
MLC1	1	Mlc1	
AQP4	1	Aqp4	
CSN3	1	Csn3	
AQP5	1	Aqp5	
AQP3	1	Aqp3	
IFIT3	1	Ifit3	
AQP1	1	Aqp1	
RPS14	1	Rps14	
EDNRB	1	Ednrb	
RPL18A	1	Rpl18a	
RPS19	1	Rps19	
RPS18	1	Rps18	
FTH1	1	Fth1	
PCLAF	1	Pclaf	
TBC1D10C	1	Tbc1d10c	
CIAO2A	1	Ciao2a	
CIAO2B	1	Ciao2b	
PTGDS	1	Ptgds	
B2M	1	B2m	
GLUL	1	Glul	
SOX4	1	Sox4	
RPS12	1	Rps12	
KRT4	1	Krt4	
SLC6A16	1	Slc6a16	
SP110	1	Sp110	
KRT1	1	Krt1	
EBF1	1	Ebf1	
HLA-B	1	H2-D1	
KRT8	1	Krt8	
KRT7	1	Krt7	
HLA-A	1	H2-K1	
KRT5	1	Krt5	
P3H3	1	P3h3	
WFDC21P	1	Wfdc21	
RUBCNL	1	Rubcnl	
COL8A1	1	Col8a1	
PFN1	1	Pfn1	
PLPP1	1	Plpp1	
PTGES	1	Ptges	
BEX3	1	Ngfrap1	
BEX2	1	Bex1	
BEX1	1	Bex2	
KLK1	1	Klk1	
MTARC2	1	Mtarc2	
MGST3	1	Mgst3	
STXBP1	1	Stxbp1	
TSHZ2	1	Tshz2	
MGST1	1	Mgst1	
KLK4	1	Klk4	
MGST2	1	Mgst2	
STC1	1	Stc1	
KLK8	1	Klk8	
GMCL1	1	Gmcl1	
KLK7	1	Klk7	
CD79B	1	Cd79b	
CD79A	1	Cd79a	
NHLH2	1	Nhlh2	
GNG10	1	Gng10	
PRAMEF13	2	Gm13119:BC080695	
INPP5D	1	Inpp5d	
VPS8	1	Vps8	
MAP7	1	Map7	
FAM180A	1	Fam180a	
MYL10	1	Myl10	
SPRR2A	1	Sprr2d	
GPM6B	1	Gpm6b	
RPL39L	1	Rpl39l	
PINLYP	1	Pinlyp	
GADD45B	1	Gadd45b	
GADD45A	1	Gadd45a	
PDE2A	1	Pde2a	
SS18L2	1	Ss18l2	
RAB39A	1	Rab39	
SNHG8	1	Snhg8	
GDF3	1	Gdf3	
GNG11	1	Gng11	
GADD45G	1	Gadd45g	
SNHG3	1	Snhg3	
CCT6A	1	Cct6a	
RPS28	1	Rps28	
RPS27	1	Rps27	
VNN1	1	Vnn1	
RPS29	2	Rps29:Gm14303	
KLHDC8A	1	Klhdc8a	
FLACC1	1	Flacc1	
DMRTC2	1	Dmrtc2	
MAGED2	1	Maged2	
RPS20	1	Rps20	
ITM2A	1	Itm2a	
SPRR1A	1	Sprr1a	
TDGF1	1	Tdgf1	
TECPR2	1	Tecpr2	
ITM2B	1	Itm2b	
ATR	1	Atr	
ITM2C	1	Itm2c	
RPS23	2	Rps23-ps1:Rps23	
SLC22A9	1	Slc22a27	
H2AX	1	H2ax	
TOP2A	1	Top2a	
COL18A1	1	Col18a1	
H2AW	1	H2aw	
ZCCHC12	1	Zcchc12	
CLIC3	1	Clic3	
CITED1	1	Cited1	
CITED2	1	Cited2	
ZFAS1	1	Zfas1	
KRT23	1	Krt23	
HBD	1	Hbb-bt	
PRL	14	Prl6a1:Prl7b1:Prl7a1:Prl2a1:Prl3b1:Prl2c5:Prl4a1:Prl7d1:Prl5a1:Prl7c1:Prl2c1:Prl2b1:Prl3d2:Prl8a9	
FMR1NB	1	Fmr1nb	
RYR3	1	Ryr3	
ESM1	1	Esm1	
GLIPR1	1	Glipr1	
SLC22A14	1	Slc22a14	
UCHL1	1	Uchl1	
SIPA1L1	1	Sipa1l1	
SLC22A18	1	Slc22a18	
CLDN23	1	Cldn23	
DNER	1	Dner	
PRX	1	Prx	
STAB1	1	Stab1	
ANKRD1	1	Ankrd1	
SOSTDC1	1	Sostdc1	
EDN2	1	Edn2	
RHOH	1	Rhoh	
GFRA1	1	Gfra1	
GFRA3	1	Gfra3	
RENBP	1	Renbp	
VAV1	1	Vav1	
CLDN11	1	Cldn11	
TLR1	1	Tlr1	
H2AJ	1	H2aj	
TNNT1	1	Tnnt1	
CEACAM4	3	Psg18:Psg29:Psg22	
TNNT3	1	Tnnt3	
FIBIN	1	Fibin	
FAM181B	1	Fam181b	
RDH5	1	Rdh5	
ALDOC	1	Aldoc	
AVP	1	Avp	
MAPT	1	Mapt	
ALDOA	1	Aldoa	
SGK1	1	Sgk1	
VGLL2	1	Vgll2	
MATN4	1	Matn4	
C1QB	1	C1qb	
C1QA	1	C1qa	
ADH1B	1	Adh1	
CXCR5	1	Cxcr5	
NPL	1	Npl	
PTN	1	Ptn	
AIF1	1	Aif1	
CST6	1	Cst6	
NKD1	1	Nkd1	
ARNTL	1	Arntl	
PBLD	1	Pbld2	
CST3	1	Cst3	
NPY	1	Npy	
MTCO2P12	1	mt-Co2	
JHY	1	Jhy	
SPTSSB	1	Sptssb	
LY6G6C	1	Ly6g6c	
LY6G6F	1	Ly6g6f	
RTRAF	1	Rtraf	
GABRP	1	Gabrp	
RANBP1	1	Ranbp1	
ATP5PB	1	Atp5pb	
GDF15	1	Gdf15	
PCP4L1	1	Pcp4l1	
LSAMP	1	Lsamp	
MPP5	1	Pals1	
PDZK1IP1	1	Pdzk1ip1	
LILRB4	1	Lilrb4a	
LYVE1	1	Lyve1	
LILRB5	1	Pirb	
SLURP1	1	Slurp1	
KRT19	1	Krt19	
TPPP3	1	Tppp3	
KRT18	1	Krt18	
KRT17	1	Krt17	
KRT16	1	Krt16	
MT-RNR2	1	mt-Rnr2	
GHRH	1	Ghrh	
KRT15	1	Krt15	
MT-RNR1	1	mt-Rnr1	
GSTA1	1	Gsta4	
KRT14	1	Krt14	
FAS	1	Fas	
B9D2	1	B9d2	
FAU	1	Gm9843	
NEUROG1	1	Neurog1	
NEUROG2	1	Neurog2	
C1QC	1	C1qc	
FCGBP	1	9530053A07Rik	
FCMR	1	Fcmr	
STEAP4	1	Steap4	
CCL4L2	1	Ccl4	
NRK	1	Nrk	
ESPN	1	Espn	
TMEM140	1	Tmem140	
ARHGAP36	1	Arhgap36	
COMP	1	Comp	
HOXA10	1	Hoxa10	
PAIP2B	1	Paip2b	
FAM162B	1	Fam162b	
BASP1	1	Basp1	
SIT1	1	Sit1	
ARHGDIB	1	Arhgdib	
NARS2	1	Nars2	
COTL1	1	Cotl1	
KRT6A	1	Krt6a	
LMO1	1	Lmo1	
POSTN	1	Postn	
LMO4	1	Lmo4	
APLP2	1	Aplp2	
H2AC4	1	H2ac7	
APLP1	1	Aplp1	
PAM16	1	Gm9803	
SHISA4	1	Shisa4	
STIMATE	1	Stimate	
SHISA3	1	Shisa3	
ATP1B1	1	Atp1b1	
SHISA8	1	Shisa8	
MPEG1	1	Mpeg1	
ARHGAP45	1	Arhgap45	
DPM1	1	Gm20716	
SELENOO	1	Selenoo	
SGO1	1	Sgo1	
ALDH3A1	1	Aldh3a1	
COL4A2	1	Col4a2	
LOX	1	Lox	
SELENOS	1	Selenos	
COL4A1	1	Col4a1	
COL4A3	1	Col4a3	
SELENOP	2	Selenop:Sepp1	
SCG5	1	Scg5	
CD300C	1	AF251705	
NUPR1	1	Nupr1	
SELENOT	1	Selenot	
SCG2	1	Scg2	
ATP5MD	1	Atp5md	
PMEL	1	Pmel	
CHRNA3	1	Chrna3	
AKNA	1	Akna	
IDI2	1	Idi2	
NTM	1	Ntm	
LPL	1	Lpl	
CSF2RB	2	Csf2rb2:Csf2rb	
FBLN1	1	Fbln1	
LTBP2	1	Ltbp2	
NID1	1	Nid1	
NTS	1	Nts	
CPLX1	1	Cplx1	
FBLN2	1	Fbln2	
FBLN5	1	Fbln5	
PCSK1N	1	Pcsk1n	
NLRP4	1	Nlrp4e	
MYH11	1	Myh11	
RPRD1A	1	Rprd1a	
POU2F1	1	Pou2f1	
PSAPL1	1	Psapl1	
CBX3	1	Cbx3	
TGFB3	1	Tgfb3	
TRPV2	1	Trpv2	
ARHGAP25	1	Arhgap25	
ESR1	1	Esr1	
LRP1B	1	Lrp1b	
NFKBIA	1	Nfkbia	
SEM1	1	Sem1	
PYY	1	Pyy	
DLG1	1	Dlg1	
SYNDIG1L	1	Syndig1l	
TLX3	1	Tlx3	
BAMBI	1	Bambi	
TLX2	1	Tlx2	
TMEM119	1	Tmem119	
ZSCAN4	1	Zscan4d	
TGFBI	1	Tgfbi	
FGFR2	1	Fgfr2	
LRP11	1	Lrp11	
CXCL6	1	Cxcl5	
EOLA1	1	Eola1	
LRRC74B	1	Lrrc74b	
ELAVL4	1	Elavl4	
SLC2A1	1	Slc2a1	
SLC40A1	1	Slc40a1	
HSPB1	1	Hspb1	
CXCL1	1	Cxcl3	
SLC2A3	1	Slc2a3	
YBX1	1	Ybx1	
CXCL3	1	Cxcl2	
CXCL2	1	Cxcl1	
ELAVL2	1	Elavl2	
ELAVL3	1	Elavl3	
RBM3	1	Rbm3	
RPS4X	1	Rps4x	
UPK1B	1	Upk1b	
DBP	1	Dbp	
HEPH	1	Heph	
BLNK	1	Blnk	
FGB	1	Fgb	
SRGN	1	Srgn	
C15orf48	1	AA467197	
PTGIR	1	Ptgir	
CAMK1D	1	Camk1d	
EGFL6	1	Egfl6	
PTGIS	1	Ptgis	
PDE4D	1	Pde4d	
SPATS1	1	Spats1	
MARS1	1	Mars1	
PDE4C	1	Pde4c	
PLAUR	1	Plaur	
RPS3A	2	Rps3a1:Rps3a2	
OPRM1	1	Oprm1	
UPK3B	1	Upk3b	
UTF1	1	Utf1	
DCN	1	Dcn	
GAP43	1	Gap43	
HSH2D	1	Hsh2d	
PEAK1	1	Peak1	
COL6A2	1	Col6a2	
COL6A1	1	Col6a1	
DCX	1	Dcx	
IFNK	1	Ifnk	
COL6A3	1	Col6a3	
TERF2IP	1	Terf2ip	
COL6A6	1	Col6a6	
USP40	1	Usp40	
LTB	1	Ltb	
CAMK1G	1	Camk1g	
PAPPA2	1	Pappa2	
RBMS3	1	Rbms3	
SASH3	1	Sash3	
DDC	1	Ddc	
CLEC12A	1	Clec12a	
HPGD	1	Hpgd	
NRXN1	1	Nrxn1	
RGS16	1	Rgs16	
NRXN2	1	Nrxn2	
SELENOF	1	Selenof	
PRELP	1	Prelp	
LTC4S	1	Ltc4s	
SELENOK	1	Selenok	
TFPI	1	Tfpi	
THBS2	1	Thbs2	
THBS1	1	Thbs1	
USP18	1	Usp18	
NCALD	1	Ncald	
THBS4	1	Thbs4	
DLL3	1	Dll3	
SELENOH	1	Selenoh	
GNA14	1	Gna14	
IGFBPL1	1	Igfbpl1	
NT5DC3	1	Nt5dc3	
SNCG	1	Sncg	
NCAM1	1	Ncam1	
GBP2	1	Gbp2	
S1PR4	1	S1pr4	
HES5	1	Hes5	
SNCA	1	Snca	
PTCD1	1	Ptcd1	
NEGR1	1	Negr1	
NOS2	1	Nos2	
LUM	1	Lum	
PANTR1	1	Pantr1	
MEIS2	1	Meis2	
DLK1	1	Dlk1	
POMC	1	Pomc	
PDE10A	1	Pde10a	
KANSL2	1	Kansl2	
ALOX5AP	1	Alox5ap	
PMP22	1	Pmp22	
ATP13A5	1	Atp13a5	
SPRY2	1	Spry2	
